Common Name,Botanical Name,Plant Type,Mature Size (H x W),Sun Requirements,Water Needs,Soil Preferences,Bloom Time & Color,Fall Color,Wildlife Value,Special Features,Landscape Use,Maintenance Level,SC Native,Guide Category,Photo URL
White Oak,Quercus alba,Shade Tree,50-100' x 50-100',Full Sun to Part Shade,Moderate,"Moist, acidic, well-drained",Spring catkins,Wine-red to purplish,Very High - acorns for wildlife,"Native, long-lived","Specimen tree, large shade, naturalized areas",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Keeler_Oak_Tree_-_distance_photo%2C_May_2013.jpg/960px-Keeler_Oak_Tree_-_distance_photo%2C_May_2013.jpg
Willow Oak,Quercus phellos,Shade Tree,60-75' x 40-60',Full Sun,Moderate,"Moist, acidic",Spring catkins,Yellow-brown,"High - acorns, birds","Native, fast-growing","Street tree, buffer strips, fast canopy",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Tree_in_Mississippi.jpg/960px-Tree_in_Mississippi.jpg
Pin Oak,Quercus palustris,Shade Tree,60-70' x 25-40',Full Sun to Part Shade,Moderate,"Acidic, well-drained (chlorosis in high pH)",Spring catkins,Bronze to red,High - acorns,Pyramidal form,"Streets, lawns with acidic soils",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/1/15/Pin_oak_quercus_palustris.jpg
Water Oak,Quercus nigra,Shade Tree,50-60' x 50-60',Full Sun to Part Shade,Moderate,"Adaptable, tolerates wet",Spring catkins,Yellow,High - acorns,"Native, fast shade","Large properties, quick shade",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Quercus_nigra_USDA.jpg/960px-Quercus_nigra_USDA.jpg
Southern Red Oak,Quercus falcata,Shade Tree,60-80' x 50-70',Full Sun,Low to Moderate,"Adaptable, well-drained",Spring catkins,Reddish-brown,High - acorns,"Native, tough","Naturalized edges, shade",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Quercus_falcata_leaf_bark.jpg/960px-Quercus_falcata_leaf_bark.jpg
Red Maple,Acer rubrum,Shade Tree,40-60' x 25-35',Full Sun to Part Shade,Moderate,"Moist, slightly acidic, tolerates wet","Jan-Mar, showy red flowers",Red/orange/yellow,"Medium - samaras, early pollinators","Native, early bloomer","Shade, lawns, streets",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Acer_rubrum_15-p.bot-a.rubrum-114.jpg/960px-Acer_rubrum_15-p.bot-a.rubrum-114.jpg
Freeman Maple,Acer x freemanii,Shade Tree,40-50' x 30-40',Full Sun,Moderate,Adaptable,Late winter-spring,Orange-red,Medium,"Fast growth, reliable fall color","Shade, fall color specimen",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Red_and_green_Maple_Tree_%283972416112%29.jpg/960px-Red_and_green_Maple_Tree_%283972416112%29.jpg
Southern Sugar Maple,Acer barbatum,Shade Tree,30-60' x 30-50',Full Sun to Part Shade,Moderate,"Well-drained, slightly acidic",Spring,Yellow/orange/red,Medium,"Native, sugar maple substitute for South","Shade, fall color",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Acer_barbatum_9zz.jpg/960px-Acer_barbatum_9zz.jpg
American Elm (DED-resistant),Ulmus americana,Shade Tree,60-80' x 40-70',Full Sun to Part Shade,Moderate,Adaptable wet/dry,Early spring,Yellow,Medium,"Classic arching form, disease-resistant cultivars","Street tree, shade",Medium,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/American_Elm_Tree%2C_Old_South_Street%2C_Northampton%2C_MA_-_October_2019.jpg/960px-American_Elm_Tree%2C_Old_South_Street%2C_Northampton%2C_MA_-_October_2019.jpg
Lacebark Elm,Ulmus parvifolia,Shade Tree,30-50' x 35-50',Full Sun,Low to Moderate,"Heat/drought tolerant, well-drained",Late summer/fall,Yellow to reddish-purple,Medium,"Exfoliating bark, urban tough","Urban shade, specimen",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/RN_Ulmus_parvifolia_%28Hilversum%29.JPG/960px-RN_Ulmus_parvifolia_%28Hilversum%29.JPG
American Sycamore,Platanus occidentalis,Shade Tree,75-100' x 75-100',Full Sun to Part Shade,Moderate,"Deep, moist soils",Spring (not showy),Yellow-brown,Medium,"Native, massive canopy","Parks, stream corridors",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Buttonball_Sycamore_in_Sunderland%2C_MA_%28March_2019%29.jpg/960px-Buttonball_Sycamore_in_Sunderland%2C_MA_%28March_2019%29.jpg
London Planetree,Platanus x hispanica,Shade Tree,70-100' x 65-80',Full Sun to Part Shade,Moderate,Urban soil tolerant,Spring,Yellow-brown,Medium,"Urban tough, exfoliating bark","Urban canopy, streets",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Platanus_orientalis_fruits%2C_Thasos.jpg/960px-Platanus_orientalis_fruits%2C_Thasos.jpg
River Birch,Betula nigra,Shade Tree,30-60' x 20-50',Full Sun to Part Shade,Moderate,"Acidic, moist, tolerates wet",Spring catkins,Pale yellow,"Medium - seeds, cover","Native, exfoliating bark","Multi-trunk specimen, wet areas, pond edges",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/RiverBirchBark01.JPG/960px-RiverBirchBark01.JPG
Sweetgum,Liquidambar styraciflua,Shade Tree,60-75' x 30-40',Full Sun,Moderate,"Deep, moist soils",Spring,Yellow-red-purple,Medium - seeds for birds,"Native, excellent fall color (spiky fruit can be messy)",Fall color specimen,Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/2014-11-02_13_06_29_Sweet_Gum_during_autumn_along_Lower_Ferry_Road_in_Ewing%2C_New_Jersey.JPG/960px-2014-11-02_13_06_29_Sweet_Gum_during_autumn_along_Lower_Ferry_Road_in_Ewing%2C_New_Jersey.JPG
Tulip Poplar,Liriodendron tulipifera,Shade Tree,70-100' x 30-50',Full Sun,Moderate,"Deep, moist, well-drained","Late spring, tulip-shaped",Yellow,"Medium-High - nectar, seeds","Native, fast tall shade, state tree of TN","Tall shade, away from foundations",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Liriodendron_tulipifera_%28arbre%29_-_Laeken.JPG/960px-Liriodendron_tulipifera_%28arbre%29_-_Laeken.JPG
Bald Cypress,Taxodium distichum,Shade Tree,50-70' x 20-30',Full Sun,Moderate to High,"Thrives wet, tolerates urban",Spring (inconspicuous),Copper/russet,"Medium - cover, cones","Native, deciduous conifer, drought tolerant once established","Wet sites, specimen, stormwater",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Taxodium_distichum_NRCSMS01010.jpg/960px-Taxodium_distichum_NRCSMS01010.jpg
Ginkgo (male cultivars),Ginkgo biloba,Shade Tree,50-80' x 30-40',Full Sun to Part Shade,Low,"Well-drained, drought tolerant",Mar-Apr (male cones),Brilliant gold,Low-Medium,"Ancient species, plant males only","Street tree, specimen, fall color",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/GINKGOBAUM-2.jpg/960px-GINKGOBAUM-2.jpg
Black Oak,Quercus velutina,Shade Tree,50-80' x 50-70',Full Sun,Low to Moderate,Well-drained,Spring catkins,Red-brown,High - acorns,"Native, wildlife value","Woodland edge, large shade",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Quercus_velutina_001.jpg/960px-Quercus_velutina_001.jpg
Flowering Dogwood,Cornus florida,Ornamental/Flowering Tree,15-40' x 15-40',Part Shade (best),Moderate,"Moist, well-drained, acidic, organic",Apr-May; white/pink bracts,Red to purple-red,High - red fruit for birds,"Native, iconic understory tree","Understory specimen, woodland edge, naturalized groups",Medium,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Cornus_florida_Arkansas.jpg/960px-Cornus_florida_Arkansas.jpg
Kousa Dogwood,Cornus kousa,Ornamental/Flowering Tree,15-30' x 15-30',Full Sun to Part Shade,Moderate,Well-drained,May; white (after leaf-out),Purple/red/yellow,Medium - fruit eaten by birds,More disease-tolerant than native dogwood,"Small yards, specimen",Medium,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/6/60/Cornus_kousa_img_2066.jpg
Eastern Redbud,Cercis canadensis,Ornamental/Flowering Tree,20-30' x 15-35',Full Sun to Part Shade,Moderate,"Well-drained, tolerates varied pH",Early spring; pink/purple,Yellow,"Medium - early nectar, seeds","Native, heart-shaped leaves","Woodland edge, contrast against evergreens",Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/RedbudOhio02.jpg/960px-RedbudOhio02.jpg
Crape Myrtle,Lagerstroemia hybrids,Ornamental/Flowering Tree,10-30' x 15-25',Full Sun,Low to Moderate,"Well-drained, drought tolerant",Early summer-fall; white/pink/red/purple,Yellow/orange/red,Low-Medium - pollinators,"Heat-proof, exfoliating bark, long bloom","Street/patio tree, specimen",Medium,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Lagerstroemia_indica_Blanco1.207.png/960px-Lagerstroemia_indica_Blanco1.207.png
Saucer Magnolia,Magnolia x soulangiana,Ornamental/Flowering Tree,20-30' x 20-30',Full Sun to Part Shade,Moderate,"Rich, acidic, well-drained",Mar-Apr; pink/white,Minimal,Low,"Early spectacular bloom, avoid frost pockets","Specimen, entry focal point",Low,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Magnolia_sieboldii_flower_1.jpg/960px-Magnolia_sieboldii_flower_1.jpg
Star Magnolia,Magnolia stellata,Ornamental/Flowering Tree,15-20' x 10-15',Full Sun,Moderate,Well-drained,"Feb-Mar; white, fragrant",Minimal,Low,"Very early bloom, compact","Small specimen, protect from late freezes",Low,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Magnolia_stellata_fleurs.jpg/960px-Magnolia_stellata_fleurs.jpg
Sweetbay Magnolia,Magnolia virginiana,Ornamental/Flowering Tree,40-50' x 15-25',Full Sun to Part Shade,Moderate,"Tolerates moist soils, acidic","May-Jun; creamy white, fragrant (often repeats)","Variable, semi-evergreen","Medium - pollinators, seeds","Native, fragrant, tolerates wet sites",Near patios/water features,Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Magnolia_virginiana_flower_2.jpg/960px-Magnolia_virginiana_flower_2.jpg
White Fringetree,Chionanthus virginicus,Ornamental/Flowering Tree,12-20' x 12-20',Full Sun to Part Shade,Moderate,"Moist, acidic, well-drained",Early May; white cloud-like,Minor,Medium - blue-black fruit on females,"Native, under utility lines","Small focal tree, white bloom cloud",Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Chionanthus_virginicus_Arkansas.jpg/960px-Chionanthus_virginicus_Arkansas.jpg
Serviceberry,Amelanchier arborea,Ornamental/Flowering Tree,10-25' x 10-15',Full Sun to Part Shade,Moderate,"Moist, well-drained, adaptable",Mid Mar-early Apr; white,Yellow-orange-red,"High - berries, pollinators","Native, edible berries, multi-season interest","Woodland edge, multi-stem specimen",Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Amelanchier_arborea_leaves.JPG/960px-Amelanchier_arborea_leaves.JPG
Carolina Silverbell,Halesia tetraptera,Ornamental/Flowering Tree,30-40' x 20-35',Part Shade,Moderate,"Rich, acidic, well-drained",Late Mar-Apr; white bells,Yellow,Medium,"Native, bell-shaped flowers","Understory accent, woodland borders",Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Silverbell_Halesia_tetraptera_Flowers.JPG/960px-Silverbell_Halesia_tetraptera_Flowers.JPG
Japanese Flowering Cherry,Prunus serrulata,Ornamental/Flowering Tree,15-25' x 15-25',Full Sun,Moderate,"Moist, well-drained",Early-mid spring; pink/white,Bronze/yellow-orange,Low,"Spectacular spring bloom, often short-lived",Lawn specimen,Medium,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Cerisier_du_Japon_Prunus_serrulata.jpg/960px-Cerisier_du_Japon_Prunus_serrulata.jpg
Yoshino Cherry,Prunus x yedoensis,Ornamental/Flowering Tree,25-50' x 25-50',Full Sun,Moderate,Needs consistent moisture,Early spring; white/pale pink,Yellowish,Low,Iconic spring display,"Lawn, entry drive",Medium,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2020-04-07_Prunus_%C3%97_yedoensis_Tambasasayama%2CHyogo%28%E4%B8%B9%E6%B3%A2%E7%AF%A0%E5%B1%B1%E5%B8%82%E7%AF%A0%E5%B1%B1%E5%B7%9D%E3%81%AE%E3%82%BD%E3%83%A1%E3%82%A4%E3%83%A8%E3%82%B7%E3%83%8E%29DSCF2986%E2%98%86%E5%BD%A1.jpg/960px-2020-04-07_Prunus_%C3%97_yedoensis_Tambasasayama%2CHyogo%28%E4%B8%B9%E6%B3%A2%E7%AF%A0%E5%B1%B1%E5%B8%82%E7%AF%A0%E5%B1%B1%E5%B7%9D%E3%81%AE%E3%82%BD%E3%83%A1%E3%82%A4%E3%83%A8%E3%82%B7%E3%83%8E%29DSCF2986%E2%98%86%E5%BD%A1.jpg
Crabapple (disease-resistant),Malus spp.,Ornamental/Flowering Tree,10-25' x 10-25',Full Sun,Moderate,"Moist, slightly acidic, well-drained",April; white/pink/red,Variable,Medium-High - persistent fruit for birds,Choose disease-resistant cultivars,"Patio/specimen, four-season interest",Medium,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Purple_prince_crabapple_tree.JPG/960px-Purple_prince_crabapple_tree.JPG
Japanese Maple,Acer palmatum,Ornamental/Flowering Tree,6-25' x 6-25',Part Shade (best),Moderate,"Evenly moist, acidic, well-drained",Spring (not showy),Red/orange/yellow (excellent),Low,"Protect from hot afternoon sun, hundreds of cultivars","Courtyards, entries, containers",Medium,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/d/d6/Acer_palmatum0.jpg
Sourwood,Oxydendrum arboreum,Ornamental/Flowering Tree,20-30' x 15-25',Full Sun to Part Shade,Moderate,"Acidic, well-drained",Summer; white lily-of-valley chains,Red (excellent),"High - nectar, pollinators","Native, summer bloom + fall color, honey tree","Naturalized edges, specimen",Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/b/be/Oxydendrum_arboreum.jpg
Pawpaw,Asimina triloba,Ornamental/Flowering Tree,15-25' x 15-25',Part Shade to Full Sun,Moderate,"Moist, well-drained",Late spring; maroon,Yellow,"High - larval host, edible fruit","Native, tropical-looking leaves, edible fruit","Understory edible, woodland garden",Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Asimina_triloba3.jpg/960px-Asimina_triloba3.jpg
Higan Cherry,Prunus subhirtella,Ornamental/Flowering Tree,20-40' x 15-30',Full Sun,Moderate,Well-drained,Late winter-spring; pink (some fall rebloom),Yellowish,Low,Graceful weeping forms available,"Specimen, Upstate favorite",Medium,No,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Fr%C3%BChling_bl%C3%BChender_Kirschenbaum.jpg/960px-Fr%C3%BChling_bl%C3%BChender_Kirschenbaum.jpg
Two-Winged Silverbell,Halesia diptera,Ornamental/Flowering Tree,20-30' x 20-30',Part Shade,Moderate,"Rich, acidic, well-drained",Late Mar-Apr; white bells,Yellow,Medium,"Native, smaller silverbell alternative","Understory, woodland border",Low,Yes,2. Ornamental/Flowering Trees,https://upload.wikimedia.org/wikipedia/commons/6/68/Halesia_diptera0.jpg
Southern Magnolia,Magnolia grandiflora,Evergreen Tree,60-80' x 30-50',Full Sun to Part Shade,Moderate,"Rich, acidic, well-drained","May-Jun; large white, fragrant (repeats)",Evergreen; showy seed cones,Medium-High - seeds for birds,"Native, evergreen, fragrant, narrow cultivars available","Large specimen, evergreen screen",Low,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Magn%C3%B2lia_a_Verbania.JPG/960px-Magn%C3%B2lia_a_Verbania.JPG
Live Oak,Quercus virginiana,Evergreen Tree,40-80' x 60-100',Full Sun,Low to Moderate,"Well-drained, drought tolerant",Spring catkins,Evergreen to semi-evergreen,High - acorns,"Native, iconic Southern canopy","Signature canopy tree, allow room",Low,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FL_Volusia_Oak03.jpg/960px-FL_Volusia_Oak03.jpg
American Holly,Ilex opaca,Evergreen Tree,Up to 50' x 10-30',Full Sun to Part Shade,Moderate,"Well-drained, slightly acidic",Late spring; red berries on females,Evergreen + red berries,"High - berries, cover for birds","Native, classic holly","Specimen, screens, wildlife plantings",Low,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ilex_opaca_USDA.jpg/960px-Ilex_opaca_USDA.jpg
Nellie R. Stevens Holly,Ilex x 'Nellie R. Stevens',Evergreen Tree,15-25' x 10-15',Full Sun to Part Shade,Moderate,Well-drained,Spring; heavy red berries,Evergreen + heavy berries,High - birds,"Fast dense growth, classic Upstate performer",Privacy screen,Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Ilex_Nellie_R._Stevens_3zz.jpg/960px-Ilex_Nellie_R._Stevens_3zz.jpg
Foster Holly,Ilex x attenuata 'Fosteri',Evergreen Tree,20-30' x 10-15',Full Sun to Part Shade,Moderate,Well-drained,Spring; red berries on females,Evergreen + berries,High - birds,Narrow pyramidal form,"Narrow screens, specimen",Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Ilex_x_attenuata_Fosteri_3zz.jpg/960px-Ilex_x_attenuata_Fosteri_3zz.jpg
Savannah Holly,Ilex x attenuata 'Savannah',Evergreen Tree,30-40' x 10-20',Full Sun to Part Shade,Moderate,Well-drained,Spring; red berries on females,Evergreen + berries,High - birds,"Open, graceful pyramidal form",Screens where width matters,Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Ilex_x_attenuata_Fosteri_3zz.jpg/960px-Ilex_x_attenuata_Fosteri_3zz.jpg
Eastern Redcedar,Juniperus virginiana,Evergreen Tree,30-50' x 10-20',Full Sun,Low,"Adaptable, drought tolerant",Winter-spring (pollen),Evergreen; blue berries,High - birds,"Native, tough, windbreak","Windbreaks, tough sites, naturalized",Low,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/2014-05-13_08_32_55_Eastern_Red_Cedar_at_South_Riding_Golf_Club_in_South_Riding%2C_Virginia.JPG/960px-2014-05-13_08_32_55_Eastern_Red_Cedar_at_South_Riding_Golf_Club_in_South_Riding%2C_Virginia.JPG
Loblolly Pine,Pinus taeda,Evergreen Tree,40-90' x 20-35',Full Sun,Moderate,Acidic soils preferred,Spring pollen/cones,Evergreen,"Medium-High - seeds, nesting","Native, fast screen","Fast screen, large properties",Low,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Loblolly_Pines_South_Mississippi.JPG/960px-Loblolly_Pines_South_Mississippi.JPG
Longleaf Pine,Pinus palustris,Evergreen Tree,55-100' x 20-35',Full Sun,Low,"Sandy, acidic, well-drained",Spring pollen/cones,Evergreen,Medium-High,"Native, signature Southern pine","Drier sites, restoration",Low,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Pinus_palustris_bark_30_NBG_LR.jpg/960px-Pinus_palustris_bark_30_NBG_LR.jpg
Eastern White Pine,Pinus strobus,Evergreen Tree,50-80' x 20-40',Full Sun,Moderate,"Moist, well-drained",Spring pollen/cones,Evergreen,Medium,"Native, soft texture, avoid road salt","Screen/specimen, cooler sites",Low,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/4/48/Pinus_strobus_trees.jpg
Japanese Cryptomeria,Cryptomeria japonica,Evergreen Tree,30-50' x 20-30',Full Sun to Part Shade,Moderate,"Moist, acidic, well-drained",Cones,Evergreen (may bronze slightly in winter),Low-Medium,"Excellent Leyland cypress substitute, pyramidal","Screens, specimens, Leyland alternative",Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Cryptomeria_japonica_SZ124.png/960px-Cryptomeria_japonica_SZ124.png
Leyland Cypress,x Cupressocyparis leylandii,Evergreen Tree,60-70' x 12-20',Full Sun to Part Shade,Moderate,"Well-drained, fertile",Cones,Evergreen,Low,Use with caution - high disease/pest risk per Clemson,Quick screen on large sites (high long-term risk),High,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Leyland_Cypress_NBG.jpg/960px-Leyland_Cypress_NBG.jpg
Green Giant Arborvitae,Thuja plicata 'Green Giant',Evergreen Tree,30-50' x 12-18',Full Sun,Moderate,"Moist, well-drained, fertile",Cones,Evergreen,Low-Medium,Clemson-recommended tall conifer screen,"Tall conifer screen, privacy",Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Thuja_plicata_Vancouver.jpg/960px-Thuja_plicata_Vancouver.jpg
Arizona Cypress,Cupressus arizonica,Evergreen Tree,40-60' x 15-25',Full Sun,Low,"Prefers drier sites, good drainage",Cones,"Evergreen, blue-green",Low,Clemson-recommended screen for dry sunny sites,Dry site screens,Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Cypress_Halefka.JPG/960px-Cypress_Halefka.JPG
Tea Olive,Osmanthus fragrans,Evergreen Tree,15-25' x 10-15',Full Sun to Part Shade,Moderate,Well-drained,Fall; extremely fragrant small white flowers,Evergreen,Low-Medium - pollinators,"Fragrant, broadleaf evergreen","Near patios/entries, evergreen screen",Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Osmanthus_fragrans_%28orange_flowers%29.jpg/960px-Osmanthus_fragrans_%28orange_flowers%29.jpg
Deodar Cedar,Cedrus deodara,Evergreen Tree,40-70' x 20-40',Full Sun,Low to Moderate,Well-drained,Cones,"Evergreen, graceful pendulous branches",Low,Graceful specimen conifer,"Specimen, give room",Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Cedrus_deodara_Manali_2.jpg/960px-Cedrus_deodara_Manali_2.jpg
Hinoki Cypress,Chamaecyparis obtusa,Evergreen Tree,15-40' x 10-20',Full Sun to Part Shade,Moderate,Well-drained,Cones,"Evergreen, architectural",Low,"Slow-growing, many cultivar sizes","Specimen, foundation (dwarf forms)",Low,No,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/%E5%A4%A7%E6%99%BA%E5%AF%BA_%28%E5%B2%90%E9%98%9C%E5%B8%82%29-%E6%A8%B9%E9%BD%A2%E7%B4%84700%E5%B9%B4%E3%81%AE%E5%A4%A7%E3%83%92%E3%83%8E%E3%82%ADdaichiji008.jpg/960px-%E5%A4%A7%E6%99%BA%E5%AF%BA_%28%E5%B2%90%E9%98%9C%E5%B8%82%29-%E6%A8%B9%E9%BD%A2%E7%B4%84700%E5%B9%B4%E3%81%AE%E5%A4%A7%E3%83%92%E3%83%8E%E3%82%ADdaichiji008.jpg
Carolina Hemlock,Tsuga caroliniana,Evergreen Tree,30-50' x 20-30',Part Shade,Moderate,"Moist, well-drained",Cones,"Evergreen, graceful",Medium,"Native, elegant, monitor for HWA pest","Cooler/filtered sites, specimen",Medium,Yes,3. Evergreen Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Tsuga_caroliniana_Rog%C3%B3w.jpg/960px-Tsuga_caroliniana_Rog%C3%B3w.jpg
Evergreen Azalea,Rhododendron (evergreen hybrids),Flowering Shrub,3-10' x 3-10',Part Shade,Moderate,"Acidic, organic, well-drained",Mar-Apr; many colors,Evergreen,Pollinators,"Evergreen, mass color","Foundation, woodland edge, mass planting",Medium,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Alpenroos.jpg/960px-Alpenroos.jpg
Piedmont Azalea,Rhododendron canescens,Flowering Shrub,8-15' x 6-15',Part Shade,Moderate,"Acidic, moist but well-drained","Mar-Apr; white-pink, fragrant",Deciduous,"Pollinators, native ecology","Native, fragrant, deciduous","Naturalized, woodland border",Low,Yes,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rhododendron_canescens_Arkansas.jpg/960px-Rhododendron_canescens_Arkansas.jpg
Bigleaf Hydrangea,Hydrangea macrophylla,Flowering Shrub,4-12' x 4-12',Part Shade,High to Moderate,"Moist, rich, well-drained; pH affects color",Jun-Aug; blue/pink/white,Deciduous,Pollinators (limited),Bloom color changes with soil pH,"Foundation, border, containers",Medium,No,4. Flowering Shrubs,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/%28Natural%29_Hydrangea_macrophylla%2C_Iwafune%2C_Isumi%2C_Chiba%2C_Japan_2.jpg/960px-%28Natural%29_Hydrangea_macrophylla%2C_Iwafune%2C_Isumi%2C_Chiba%2C_Japan_2.jpg
