Common Name,Botanical Name,Plant Type,Mature Size (H x W),Sun Requirements,Water Needs,Soil Preferences,Bloom Time & Color,Fall Color,Wildlife Value,Special Features,Landscape Use,Maintenance Level,SC Native,Guide Category,Photo URL
Side-Oats Grama,Bouteloua curtipendula,Ornamental Grass,2-3' x 1-2',Full Sun,Low,"Sandy to clay, well-drained",Summer; purple/red-tinged spikelets,Straw,Seed/cover,"Native, drought tolerant","Slopes, meadows, naturalistic borders",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Bouteloua_curtipendula.jpg/960px-Bouteloua_curtipendula.jpg
Liriope (clumping),Liriope muscari,Ornamental Grass,10-18 in. x 12-18 in.,Full Sun to Deep Shade,Low to Moderate,"Moist, well-drained",Jul-Aug; purple/white/pink spikes,Evergreen,Some cover,"Very tough, evergreen edging","Under trees, edging, slopes",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Liriope_muscari_4.JPG/960px-Liriope_muscari_4.JPG
Mondo Grass,Ophiopogon japonicus,Ornamental Grass,8-16 in. x spreading,Filtered Sun to Shade,Moderate,"Ordinary, prefers moist",Jul-Sep; white/lilac,Evergreen,Cover,Shade-tolerant no-mow look,"Paths/stepping stones, shade groundcover",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Japonska_ka%C4%8Dja_brada.jpg/960px-Japonska_ka%C4%8Dja_brada.jpg
Fountain Grass,Pennisetum alopecuroides,Ornamental Grass,2-4' x 2-4',Full Sun,Moderate,"Moist, well-drained",Mid-late summer; cream/pink plumes,Tan,Cover,Use with care - can reseed/invasive per Clemson,"Accents, massing (avoid near natural areas)",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Pennisetum_alopecuroides_%28Lampenpoetsersgras%29_02.JPG/960px-Pennisetum_alopecuroides_%28Lampenpoetsersgras%29_02.JPG
Prairie Dropseed,Sporobolus heterolepis,Ornamental Grass,2' x 3',Full Sun,Low,Well-drained,Late summer; subtle fragrant,Tan,Cover,"Native, fine texture, fragrant blooms","Paths, edging masses, borders",Low,Yes,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Sporobolus_heterolepis_-_Denver_Botanic_Gardens_-_DSC00886.JPG/960px-Sporobolus_heterolepis_-_Denver_Botanic_Gardens_-_DSC00886.JPG
Dwarf Mondo Grass,Ophiopogon japonicus 'Nanus',Ornamental Grass,2-4 in. x spreading,Part Shade to Shade,Moderate,"Moist, well-drained",Insignificant,Evergreen,Cover,"Very low, between-stone filler","Between pavers, edging, miniature groundcover",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Japonska_ka%C4%8Dja_brada.jpg/960px-Japonska_ka%C4%8Dja_brada.jpg
Creeping Liriope,Liriope spicata,Ornamental Grass,10-15 in. x spreading,Full Sun to Shade,Low to Moderate,"Moist, well-drained",Summer; lighter spikes,Evergreen,Cover,"Spreads by rhizomes, erosion control","Large groundcover areas, erosion control",Low,No,7. Ornamental Grasses,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Liriope_spicata_2016-07-23_04.jpg/960px-Liriope_spicata_2016-07-23_04.jpg
Purple Coneflower,Echinacea purpurea,Perennial,2-4' x 1.5-2',Full Sun to Part Shade,Moderate (low once established),"Well-drained, evenly moist",Mid-summer-frost; pink/purple/white,Minimal,Pollinators + birds eat seed,"Native, drought tolerant, deer resistant","Meadows, massing, perennial borders",Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Echinacea_purpurea_Grandview_Prairie.jpg/960px-Echinacea_purpurea_Grandview_Prairie.jpg
Black-Eyed Susan,Rudbeckia fulgida 'Goldsturm',Perennial,2-3' x 1-2',Full Sun,Moderate,"Moist, well-drained, adapts",Jun-Sep; yellow with dark center,Minimal,Pollinators + seed for birds,"Long bloom, tough, native","Massing, rain gardens, late-summer color",Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rudbeckia_fulgida.JPG/960px-Rudbeckia_fulgida.JPG
Garden Phlox,Phlox paniculata,Perennial,2-4' x 2-3',Full Sun to Part Shade,Moderate to High,"Rich, moist, well-drained",Jul-Sep; white/pink/purple,Minimal,"Butterflies, hummingbirds","Fragrant, choose mildew-resistant cultivars","Back/mid border, cottage gardens",Medium,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/3/3d/Phlox_paniculata_eva_cullum.jpeg
Carolina Phlox,Phlox carolina,Perennial,2-3' x 1.5-2',Full Sun to Part Shade,Moderate,"Well-drained, heat tolerant",Late spring-early summer; lavender/pink/white,Minimal,Pollinators,"Native, earlier bloom than garden phlox","Native borders, mixed beds",Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Floks.jpg/960px-Floks.jpg
Salvia (perennial types),Salvia spp.,Perennial,1-5' x 1-4',Full Sun to Part Shade,Low to Moderate,"Well-drained, slightly acidic",Late spring-frost; blue/purple/red,Minimal,Hummingbirds + pollinators,"Heat/drought tolerant, deer/rabbit resistant","Massing, borders, containers",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/5/5a/Salvia_officinalis0.jpg
Autumn Sage,Salvia greggii,Perennial,2-3' x 2-3',Full Sun,Low,Excellent drainage,Summer-fall; many colors,Evergreen-ish,Pollinators,"Long bloom, drought tolerant","Hot borders, pollinator gardens",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Salvia_greggii_kz2.jpg/960px-Salvia_greggii_kz2.jpg
Daylily,Hemerocallis hybrids,Perennial,8 in.-5' x 1-3',Full Sun to Part Shade,Low to Moderate,"Slightly acidic, well-drained with organic matter",Late spring-fall (by cultivar); many colors,Minimal,Some pollinator use,"Extremely heat tolerant, many rebloomers","Borders, massing, slopes/erosion",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Daylily_%28Hemerocallis_fulva%29_v2.jpg/960px-Daylily_%28Hemerocallis_fulva%29_v2.jpg
Hosta,Hosta spp.,Perennial,1-2.5' x 1-4',Part Shade to Full Shade,Moderate,"Rich, well-drained, consistent moisture",Summer; white/lavender spikes,Minimal,Limited,"Premier shade foliage plant, hundreds of cultivars","Shade beds, under trees, edging",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hosta_Bressingham_Blue.JPG/960px-Hosta_Bressingham_Blue.JPG
Coral Bells,Heuchera spp.,Perennial,1-2' x 1-2',Morning Sun/Afternoon Shade,Moderate,"Well-drained, avoid heavy clay",Late spring-summer; white/pink/red spikes,Often evergreen foliage,Pollinators,"Outstanding foliage colors, H. villosa best for heat","Shade borders, containers",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/San_Gabriel_Mountains_coralbells.jpg/960px-San_Gabriel_Mountains_coralbells.jpg
Sedum / Stonecrop,Hylotelephium (syn. Sedum) spp.,Perennial,1-2' x 1-2',Full Sun,Low,"Very well-drained, tolerates poor soil",Late summer-fall; pink turning rust,Bronzy,Pollinators,"Drought tolerant, winter seedheads","Rock gardens, sunny borders",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Sedum_spectabile_-_blossom_top_%28aka%29.jpg/960px-Sedum_spectabile_-_blossom_top_%28aka%29.jpg
Yarrow,Achillea millefolium,Perennial,1-3' x 1-2',Full Sun,Low,Well-drained,Summer; white/yellow/pink,Minimal,Pollinators,"Heat/drought tolerant, deer resistant","Meadows, borders",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Achillea_millefolium_%28bright%29.jpg/960px-Achillea_millefolium_%28bright%29.jpg
Threadleaf Coreopsis,Coreopsis verticillata,Perennial,1-2.5' x 1.5-2',Full Sun,Low to Moderate,Well-drained,Early summer-fall; yellow,Minimal,Pollinators,"Long bloom, native, airy texture","Massing, sunny beds",Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Coreopsisgigantea.jpg/960px-Coreopsisgigantea.jpg
Blazing Star,Liatris spicata,Perennial,2-4' x 1-1.5',Full Sun,Moderate,"Well-drained, tolerates clay",Summer; purple/magenta spikes,Minimal,Butterflies,"Native, vertical accent, top-down bloom","Pollinator borders, cut flowers",Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Liatris_spicata_003.JPG/960px-Liatris_spicata_003.JPG
Butterfly Weed,Asclepias tuberosa,Perennial,1-3' x 1-2',Full Sun,Low,Very well-drained,Summer; orange,Minimal,Monarch host + nectar,"Native, drought tolerant, deer resistant",Native/pollinator gardens,Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Asclepias_tuberosa_interior.jpg/960px-Asclepias_tuberosa_interior.jpg
Bee Balm,Monarda spp.,Perennial,2-4' x 2-3',Full Sun to Part Shade,Moderate,"Moist, well-drained",Summer; red/pink/purple,Minimal,Pollinators,"Native, fragrant foliage, can mildew","Cottage gardens, pollinator beds",Medium,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Monarda_clinopodia_inflorescence.jpg/960px-Monarda_clinopodia_inflorescence.jpg
Catmint,Nepeta x faassenii,Perennial,1-2' x 2-3',Full Sun,Low,Well-drained,Late spring-summer; lavender-blue,Minimal,Pollinators,"Aromatic, heat tolerant, deer resistant","Edging, massing",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Nepeta_faassenii6.jpg/960px-Nepeta_faassenii6.jpg
False Indigo,Baptisia australis,Perennial,3-4' x 3-4',Full Sun,Low,Well-drained,Spring; blue,Black seedpods,Pollinators,"Native, very long-lived, deep roots","Specimen, native borders",Low,Yes,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Baptisia_australis.jpg/960px-Baptisia_australis.jpg
Bearded Iris,Iris germanica,Perennial,1.5-3' x 1-2',Full Sun,Low to Moderate,Excellent drainage,Spring; many colors,Minimal,Some pollinators,"Deer resistant, avoid wet soil","Sunny borders, classic perennial beds",Medium,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Iris_%C3%97_germanica_%27Before_the_Storm%27_Flower.jpg/960px-Iris_%C3%97_germanica_%27Before_the_Storm%27_Flower.jpg
Hellebore / Lenten Rose,Helleborus x hybridus,Perennial,1-2' x 1-2',Part Shade to Shade,Moderate,Well-drained + organic matter,Late winter-spring; many colors,Evergreen,Early pollinators,"Evergreen, deer resistant, winter bloom","Shade borders, winter interest",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Bloem_van_een_kerstroos_%28Helleborus_niger%29_16-12-2021._%28d.j.b%29_02.jpg/960px-Bloem_van_een_kerstroos_%28Helleborus_niger%29_16-12-2021._%28d.j.b%29_02.jpg
Creeping Phlox,Phlox subulata,Perennial,3-6 in. x 1-2',Full Sun,Low,Very well-drained,Early spring; pink/white/purple/blue,Evergreen mats,Early pollinators,"Erosion control, drought tolerant","Slopes, rock gardens, edging",Low,No,8. Perennials,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Shibazakura.JPG/960px-Shibazakura.JPG
Lantana,Lantana spp.,Annual,1-4' x 2-5',Full Sun,Low to Moderate,Well-drained,Late spring-frost; multicolor clusters,N/A,Butterflies,"Heat-proof, drought tolerant","Beds, slopes, containers",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/LantanaFlowerLeaves.jpg/960px-LantanaFlowerLeaves.jpg
Pentas,Pentas lanceolata,Annual,1-3' x 1-2',Full Sun to Part Shade,Moderate,Well-drained,Summer-frost; red/pink/white/purple,N/A,Butterflies,Great continuous bloom in heat,"Beds, pollinator pots",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Penta.JPG/960px-Penta.JPG
Zinnia,Zinnia spp.,Annual,1-4' x 1-2',Full Sun,Moderate,Well-drained,Summer-frost; many colors,N/A,Butterflies,"Very fast color, excellent cut flower","Cutting gardens, beds",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Zinnia_single_layer_and_12_Petals_2.jpg/960px-Zinnia_single_layer_and_12_Petals_2.jpg
Annual Vinca,Catharanthus roseus,Annual,10-18 in. x 10-18 in.,Full Sun,Low to Moderate,"Well-drained, tolerates poor soil",Summer-frost; pink/white/red,N/A,Some,"Handles extreme heat, avoid soggy soil","Massing, edging",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Catharanthus_roseus_%28Pink_Madagascar_Periwinkle%29.jpg/960px-Catharanthus_roseus_%28Pink_Madagascar_Periwinkle%29.jpg
Angelonia,Angelonia angustifolia,Annual,1-2.5' x 1-2',Full Sun,Moderate,Well-drained,Summer-frost; purple/pink/white,N/A,Pollinators,"Excellent in humidity, heat-proof","Borders, containers",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/a/af/Summersnapdragon.jpg
Globe Amaranth,Gomphrena globosa,Annual,1-2' x 1-2',Full Sun,Low to Moderate,Well-drained,Summer-frost; purple/pink/white,N/A,Pollinators,Great dried flowers,"Beds, cut/dry arrangements",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Gomphrena_globosa_All_Around_Purple_1zz.jpg/960px-Gomphrena_globosa_All_Around_Purple_1zz.jpg
Portulaca,Portulaca grandiflora,Annual,4-10 in. x 1-2',Full Sun,Low,"Sandy, very well-drained",Summer; bright mixed colors,N/A,Some,Thrives in heat/drought,"Rock gardens, hot edges",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/PortulacaGrandiflora.jpg/960px-PortulacaGrandiflora.jpg
Fan Flower,Scaevola aemula,Annual,8-18 in. x 1-2',Full Sun to Part Shade,Moderate,Well-drained,Summer-frost; blue/purple/white,N/A,Pollinators,Outstanding trailing annual,"Hanging baskets, edges",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Scaevola_aemula_Botanical_Garden_Heidelberg.JPG/960px-Scaevola_aemula_Botanical_Garden_Heidelberg.JPG
Verbena,Verbena spp.,Annual,6-18 in. x 2-3',Full Sun,Moderate,Well-drained,Summer-frost; purple/pink/red/white,N/A,Butterflies,"Long bloom, good trailing forms","Containers, borders",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/3/38/Eisenkraut%2C_Passau.JPG
Celosia,Celosia argentea,Annual,1-3' x 1-2',Full Sun,Moderate,Well-drained,Summer-fall; red/yellow/orange/pink,N/A,Some,Bold unique texture,Focal annual beds,Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Celosia_argentea_flowering_q1.jpg/960px-Celosia_argentea_flowering_q1.jpg
Blue Daze,Evolvulus glomeratus,Annual,6-18 in. x 2-3',Full Sun,Moderate,Well-drained,Summer-frost; true blue flowers,N/A,Some,Heat tolerant groundcover annual,"Edges, containers",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Evolvulus_glomeratus_%22Blue_Daze%22.jpg/960px-Evolvulus_glomeratus_%22Blue_Daze%22.jpg
Mexican Heather,Cuphea hyssopifolia,Annual,1-2' x 1-2',Full Sun to Part Shade,Moderate,Well-drained,Summer-frost; lavender/pink/white,N/A,Pollinators,"Fine texture, steady bloom","Borders, low hedging",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Cuphea_hyssopifolia.jpg/960px-Cuphea_hyssopifolia.jpg
Marigold,Tagetes spp.,Annual,6-24 in. x 6-18 in.,Full Sun,Moderate,Well-drained,Summer-frost; yellow/orange,N/A,Some,"Tough, easy, pest-deterring","Edging, beds",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Tagetes_erecta_chendumalli_chedi.jpg/960px-Tagetes_erecta_chendumalli_chedi.jpg
Sunflower,Helianthus annuus,Annual,2-8' x 1-2',Full Sun,Moderate,Average,Summer; yellow/red/bicolor,N/A,Bird seed,"Big impact, easy","Back borders, cutting",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/960px-Sunflower_sky_backdrop.jpg
Cosmos,Cosmos spp.,Annual,2-5' x 1-2',Full Sun,Low to Moderate,Average to lean,Summer-fall; pink/white/orange,N/A,Pollinators,"Airy texture, easy","Cottage beds, cutting",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/The_Nights_Long_Moments_%28152181573%29.jpeg/960px-The_Nights_Long_Moments_%28152181573%29.jpeg
Coleus,Coleus (syn. Solenostemon),Annual,1-3' x 1-2',Part Shade to Full Sun (by cultivar),Moderate,"Rich, well-drained",Grown for foliage color,Excellent foliage color,Minimal,Best summer shade foliage color,"Shade beds, containers",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Leaf_-pani_koorkka.JPG/960px-Leaf_-pani_koorkka.JPG
Caladium,Caladium spp.,Annual,1-2' x 1-2',Part Shade to Shade,Moderate,"Rich, moist, well-drained",Foliage plant; bold tropical leaves,Bold leaf patterns,Minimal,"Heat-loving shade plant, tropical look","Shade massing, pots",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Caladium_schomburgkii_changjur-1-yercaud-salem-India.JPG/960px-Caladium_schomburgkii_changjur-1-yercaud-salem-India.JPG
Begonia (Wax/Dragon Wing),Begonia spp.,Annual,10-24 in. x 12-24 in.,Part Shade to Full Sun,Moderate,Well-drained,Summer-frost; pink/red/white,N/A,Minimal,Excellent humidity tolerance,"Shade borders, containers",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/f/fb/Begonia_obliqua00.jpg
Sweet Potato Vine,Ipomoea batatas,Annual,Trailing 2-6',Full Sun to Part Shade,Moderate,"Average, well-drained",Foliage plant,Chartreuse/purple foliage,Minimal,Fast spiller/trailer,"Containers, edges",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ipomoea_pes-tigridis%2C_Corbett_TR%2C_September_2013._AJT_Johnsingh._DSCN8264.jpg/960px-Ipomoea_pes-tigridis%2C_Corbett_TR%2C_September_2013._AJT_Johnsingh._DSCN8264.jpg
Salvia (bedding types),Salvia splendens / farinacea,Annual,1-3' x 1-2',Full Sun to Part Shade,Moderate,Well-drained,Summer-frost; red/blue/purple/white,N/A,Hummingbirds,Very reliable in heat,"Massing, containers",Low,No,9. Annuals,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Mudas_de_alegrias-de-jardim%2C_ou_s%C3%A1lvia_01.jpg/960px-Mudas_de_alegrias-de-jardim%2C_ou_s%C3%A1lvia_01.jpg
Creeping Phlox,Phlox subulata,Ground Cover,6 in. x 24 in.,Full Sun to Part Shade,Low to Moderate,Well-drained,Early spring; pink/purple/white,Evergreen mats,Pollinators,"Erosion control, drought tolerant","Slopes, rock walls, sunny edging",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Shibazakura.JPG/960px-Shibazakura.JPG
Ajuga / Bugleweed,Ajuga reptans,Ground Cover,4-8 in. x spreading,Full Sun to Shade,Moderate,"Moist, humusy, well-drained",Spring; blue spikes,Semi-evergreen,Pollinators,"Fast cover, bronze/purple foliage cultivars","Under trees, slopes, between shrubs",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ajuga_reptans_20070429_132711_1.jpg/960px-Ajuga_reptans_20070429_132711_1.jpg
Japanese Pachysandra,Pachysandra terminalis,Ground Cover,8-12 in. x colonies,Part Shade to Shade,Moderate,"Organic-rich, well-drained",Early spring; small white,Evergreen,Low,Dense evergreen carpet,"Deep shade beds, under trees",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/5/56/Pachysandra_terminalis0.jpg
Allegheny Spurge,Pachysandra procumbens,Ground Cover,6-12 in. x slowly spreading,Part Shade to Shade,Moderate,"Organic-rich, acidic to neutral",Spring; fragrant,Semi-evergreen,Early pollinators,"Native, alternative to Japanese pachysandra",Woodland shade groundcover,Low,Yes,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Alleghany_Pachysandra_Pachysandra_procumbens_Plants_3008px.JPG/960px-Alleghany_Pachysandra_Pachysandra_procumbens_Plants_3008px.JPG
Asian Star Jasmine,Trachelospermum asiaticum,Ground Cover,12-18 in. x spreading,Full Sun to Part Shade,Moderate to Low,"Adaptable, well-drained",Summer; small creamy flowers,Evergreen,Pollinators,Tough evergreen mat,"Large areas, slopes, tough banks",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Trachelospermum_asiaticum_kz2.jpg/960px-Trachelospermum_asiaticum_kz2.jpg
Leadwort / Plumbago,Ceratostigma plumbaginoides,Ground Cover,6-12 in. x spreading,Full Sun to Part Shade,Moderate,Well-drained,Late summer-fall; deep cobalt blue,Reddish fall color,Pollinators,"Late-season blue flowers, fall color","Border fronts, bulb companion",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/b/b4/Leadwort%2C_Hardy_Blue_Plumbago_%28Ceratostigma_plumbaginoides%29.jpg
Green-and-Gold,Chrysogonum virginianum,Ground Cover,4-12 in. x spreading,Part Shade to Shade,Moderate,"Average soil, consistent moisture",Spring; yellow daisies,Semi-evergreen,Pollinators,"Native, great shade groundcover","Woodland edges, shade beds",Low,Yes,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Green_and_Gold_Chrysogonum_virginianum_Flower_3008.jpg/960px-Green_and_Gold_Chrysogonum_virginianum_Flower_3008.jpg
Barrenwort,Epimedium spp.,Ground Cover,6-18 in. x spreading,Shade to Part Shade,Moderate to Low,Organic; tolerates dry shade,Spring; delicate yellow/red/white,Semi-evergreen,Early pollinators,One of best dry-shade groundcovers,"Under trees, shade borders",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Elfenblume_%28Epimedium_x_versicolor%29.jpg/960px-Elfenblume_%28Epimedium_x_versicolor%29.jpg
Sweet Woodruff,Galium odoratum,Ground Cover,6-12 in. x spreading,Shade to Part Shade,Moderate,"Organic-rich, moist",Spring; tiny white,Deciduous,Pollinators,Fragrant foliage when crushed,"Woodland carpets, shade filler",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Waldmeister%28Mai%29.JPG/960px-Waldmeister%28Mai%29.JPG
Cast Iron Plant,Aspidistra elatior,Ground Cover,1-2.5' x spreading,Shade to Deep Shade,Moderate to Low,Very adaptable,Insignificant,Evergreen,Low,Extremely tough deep-shade plant,Deep shade structure plant,Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Aspidistra_elatior1.jpg/960px-Aspidistra_elatior1.jpg
Creeping Thyme,Thymus serpyllum,Ground Cover,1-4 in. x spreading,Full Sun,Low,"Very well-drained, lean",Summer; pink/purple,Semi-evergreen,Pollinators,"Aromatic, tolerates light foot traffic","Between pavers, sunny edges",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/1/18/Thymus_serpyllum1.jpg
Mondo Grass,Ophiopogon japonicus,Ground Cover,4-12 in. x spreading,Filtered Sun to Shade,Moderate,"Ordinary, prefers moist",Jul-Sep; white/lilac,Evergreen,Cover,Shade-tolerant no-mow look,"Paths, stepping stones, shade groundcover",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Japonska_ka%C4%8Dja_brada.jpg/960px-Japonska_ka%C4%8Dja_brada.jpg
Liriope,Liriope muscari,Ground Cover,10-18 in. x 12-18 in.,Full Sun to Deep Shade,Low to Moderate,"Moist, well-drained",Jul-Aug; purple/white/pink,Evergreen,Some cover,"Very tough, evergreen","Under trees, edging, slopes",Low,No,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Liriope_muscari_4.JPG/960px-Liriope_muscari_4.JPG
Partridgeberry,Mitchella repens,Ground Cover,1-2 in. mat x spreading,Shade to Part Shade,Moderate,"Acidic, organic, moist",Spring; small white/pink; red berries,Evergreen,"Birds, small wildlife","Native, tiny evergreen creeper",Woodland groundcover,Low,Yes,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Mitchella_repens_Partridge_berry_Norfolk_Connecticut_05112019.jpg/960px-Mitchella_repens_Partridge_berry_Norfolk_Connecticut_05112019.jpg
Wild Ginger,Asarum canadense,Ground Cover,6-10 in. x spreading,Shade,Moderate,"Organic, moist, well-drained",Spring; hidden brown flowers,Deciduous,Habitat,"Native, dense shade cover, heart-shaped leaves",Understory filler,Low,Yes,10. Ground Covers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Asarum_canadense_-_Wild_Ginger.jpg/960px-Asarum_canadense_-_Wild_Ginger.jpg
Carolina Jessamine,Gelsemium sempervirens,Vine,10-20'+ (vine),Full Sun to Part Shade,Moderate to Low,"Rich, well-drained, adaptable",Late winter-spring; fragrant yellow trumpets,Evergreen,"Butterflies, pollinators","Native, SC state flower, deer resistant, POISONOUS","Trellis, arbor, porch cover, slopes",Low,Yes,11. Vines & Climbers,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Gelsemium_sempervirens3.jpg/960px-Gelsemium_sempervirens3.jpg
Crossvine,Bignonia capreolata,Vine,50-60',Full Sun to Part Shade,Moderate,"Average, well-drained",Spring; orange/orange-red trumpets,Semi-evergreen,"Hummingbirds, pollinators","Native, adhesive disks, deer resistant","Screens, fences, arbors",Low,Yes,11. Vines & Climbers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bignonia_capreolata_Arkansas.jpg/960px-Bignonia_capreolata_Arkansas.jpg
